PlayerId,Name,count,EPA,SoloTackle,AssistedTackle,SoloSack,AssistedSack,Pressure,PassBreakup,Interception,ForcedFumble,LeftSide,RightSide,Tech0,Tech1,Tech2,Tech2i,Tech3,Tech4,Tech4i,Tech5,Tech6,Tech7,Tech9,TechOff,TechOutside,DT,DE,RosterLB,DEBinary,DTBinary,RosterLBBinary,DER,DEL,RosterLBR,RosterLBL,DTR,DTL,DominantSide,DERPrediction,DELPrediction,DE,RosterLBRPrediction,RosterLBLPrediction,LB,DTRPrediction,DTLPrediction,MaxProb,SecondPRob
843,Danielle Hunter,415,-0.014908313,17,9,6,0,35,0,0,2,390,25,0,0,0,0,1,30,13,30,120,91,112,0,18,0,415,0,1,0,0,0,1,0,0,0,0,L,0.568981481,0.367744834,0.468363158,0.048302055,0.04938918,,0.002666667,0.031044905,0.568981481,0.468363158
845,Al Woods,178,-0.098525287,7,6,1,0,7,0,0,0,93,81,1,71,8,8,86,0,1,0,0,0,0,3,0,178,0,0,0,1,0,0,0,0,0,0,1,L,0.010249554,-1.05E-15,0.005124777,3.75E-16,-2.22E-16,,0.468066492,0.52156048,0.52156048,0.468066492
848,Anthony Barr,58,0.0397805,2,3,0,0,1,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,58,0,0,1,0,0,0,0,0,0,L,2.91E-04,-1.05E-15,0.000145433,0.626128722,0.220691164,,-9.99E-16,-1.11E-15,0.626128722,0.220691164
856,Harrison Smith,41,-0.023235732,3,2,0,0,3,1,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,R,1.28E-15,0.008613264,0.004306632,0.048870822,0.224451265,,-1.05E-15,0.001515152,0.224451265,0.048870822
890,Akiem Hicks,35,-0.3415606,4,0,0,0,3,0,0,0,33,1,1,1,3,0,14,8,5,0,0,0,0,0,3,35,0,0,0,1,0,0,0,0,0,0,1,L,0.28963964,0.031960227,0.160799933,0.035211268,0.072452425,,0.160854947,0.197619048,0.28963964,0.197619048
907,John Jenkins,252,-0.006040385,9,12,0,0,4,0,0,0,109,90,51,46,26,18,94,3,9,1,1,1,0,2,0,252,0,0,0,1,0,0,0,0,0,0,1,L,0.007588076,0.038571429,0.023079752,0.002631579,-2.22E-16,,0.341442652,0.728082192,0.728082192,0.341442652
933,Carlos Dunlap,407,0.018903064,27,16,7,2,34,5,0,2,268,137,0,0,0,0,6,0,3,100,32,52,95,2,117,0,407,0,1,0,0,0,1,0,0,0,0,L,0.4109319,0.453163993,0.432047946,0.158659704,0.392189055,,-1.05E-15,0.059221902,0.453163993,0.432047946
934,Domata Peko,132,-0.212521023,7,7,0,0,3,0,0,0,46,55,30,44,6,16,31,0,4,0,0,0,0,1,0,132,0,0,0,1,0,0,0,0,0,1,0,R,5.42E-04,-8.60E-16,0.000271003,3.33E-16,-4.72E-16,,0.42173516,0.587899543,0.587899543,0.42173516
935,Geno Atkins,394,0.061083165,7,13,1,1,15,0,0,0,135,232,20,13,7,23,309,5,5,5,0,0,0,7,0,394,0,0,0,1,0,0,0,0,0,1,0,R,0.09761236,0.005900901,0.05175663,0.015588235,0.006068602,,0.384502165,0.58337766,0.58337766,0.384502165
995,Aaron Donald,415,-0.037729183,11,12,6,3,38,1,0,0,199,212,1,5,4,2,300,26,25,31,1,5,10,3,2,415,0,0,0,1,0,0,0,0,0,1,0,R,0.258725762,0.285354897,0.272040329,0.036309524,0.004234973,,0.178800366,0.358713137,0.358713137,0.285354897
997,Michael Brockers,341,-0.030413933,17,12,1,1,9,1,0,0,173,162,6,41,15,1,47,138,23,30,31,7,2,0,0,341,0,0,0,1,0,0,0,0,0,0,1,L,0.295458937,0.411994949,0.353726943,0.002680067,0.007731959,,0.16263644,0.242481884,0.411994949,0.353726943
998,Robert Quinn,400,-0.065161773,16,6,5,0,34,0,0,2,0,400,0,0,0,0,2,10,9,5,99,27,242,0,6,0,400,0,1,0,0,1,0,0,0,0,0,R,0.249602122,0.540857143,0.395229632,0.022190202,0.043964717,,-1.05E-15,0.008760684,0.540857143,0.395229632
1011,Trent Murphy,343,-0.119649455,15,10,5,0,23,0,0,2,339,1,0,0,0,0,4,10,5,44,60,59,75,3,83,0,0,343,0,0,1,0,0,0,1,0,0,L,0.379742908,0.238751148,0.309247028,0.082828283,0.124226348,,-1.05E-15,0.042164855,0.379742908,0.309247028
1016,Ryan Kerrigan,179,0.066455631,5,5,3,1,10,0,0,1,132,42,0,0,0,0,1,0,0,5,4,13,54,5,97,0,0,179,0,0,1,0,0,0,1,0,0,L,0.196808511,0.281098696,0.238953604,0.300529101,0.198387097,,-1.05E-15,0.007428041,0.300529101,0.281098696
1027,Mark Barron,47,-0.900508936,3,2,0,0,0,1,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,47,0,0,1,0,0,1,0,0,0,R,0.01,0.006565657,0.008282828,0.031117267,0.601419776,,0.00413403,0.024504249,0.601419776,0.031117267
1031,Rodney McLeod,33,-0.208715758,1,2,0,0,3,0,0,1,18,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,L,0.055926916,0.014773777,0.035350346,0.039732965,0.467099567,,-1.05E-15,0.00137741,0.467099567,0.055926916
1047,Vinny Curry,203,-0.135382429,10,5,4,0,20,0,0,0,97,106,0,5,3,7,23,6,14,15,10,32,87,0,1,0,203,0,1,0,0,1,0,0,0,0,0,R,0.389796861,0.440277778,0.415037319,0.015405405,0.008426966,,0.05431426,0.073881279,0.440277778,0.415037319
1048,Fletcher Cox,384,-0.12842188,10,7,0,2,13,0,0,1,321,35,27,33,37,57,153,8,58,2,0,0,8,1,0,384,0,0,0,1,0,0,0,0,0,0,1,L,0.048786181,0.086939314,0.067862748,0.016574586,0.004177898,,0.437609329,0.566195857,0.566195857,0.437609329
1050,Brandon Graham,355,-0.169409315,12,8,3,1,22,0,0,0,281,72,0,2,2,8,17,42,29,21,31,31,159,2,11,0,355,0,1,0,0,0,1,0,0,0,0,L,0.511577965,0.696070812,0.603824388,0.037861811,0.018808194,,0.019632768,0.049594595,0.696070812,0.603824388
1053,Mychal Kendricks,174,-0.100006241,9,9,1,0,3,0,0,1,72,53,0,0,0,0,0,0,0,0,0,0,0,49,125,0,0,174,0,0,1,0,0,0,1,0,0,L,0.021415525,8.70E-04,0.011142924,0.481120527,0.465507246,,-1.05E-15,-6.94E-16,0.481120527,0.465507246
1056,Beau Allen,74,-0.177247757,1,4,0,1,4,0,0,0,10,45,19,17,4,12,17,0,5,0,0,0,0,0,0,74,0,0,0,1,0,0,0,0,0,1,0,R,0.072922374,0.03677686,0.054849617,6.94E-17,0.002777778,,0.592938596,0.318954248,0.592938596,0.318954248
